Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Vladimir;18/jun;Martijn;NA;NA;voor;impact;12.99;13.21;13.48;13.23;0.060233333;4.27;4.13;4.05;4.15;0.0124;3.85;3.89;3.61;3.78;0.022933333;k;r;r;r;r;r;r;r;v;k;k;k;k;r;v;r;r;r;r;r;r;r;r;r;r;2;5;18;0;0;0;25;0.08;0.2;0.72;0;0;0
Vladimir;18/jun;Femke;NA;NA;na;impact;12.99;13.21;13.48;13.23;0.060233333;4.27;4.13;4.05;4.15;0.0124;3.85;3.89;3.61;3.78;0.022933333;k;r;r;r;r;r;r;r;k;r;r;r;r;k;k;w;r;r;r;r;r;r;k;w;k;0;6;17;2;0;0;25;0;0.24;0.68;0.08;0;0
Juan-Carlos;18/jun;Celien;14:45;5;voor;impact;13.42;13.67;13.39;13.49;0.023633333;3.71;4.13;4.27;4.04;0.084933333;4.58;4.34;4.29;4.4;0.024033333;k;r;r;r;r;r;k;r;r;k;k;r;k;k;k;k;k;k;r;r;r;r;r;k;k;0;12;13;0;0;0;25;0;0.48;0.52;0;0;0
Juan-Carlos;18/jun;Celien;14:45;5;na;impact;13.42;13.67;13.39;13.49;0.023633333;3.71;4.13;4.27;4.04;0.084933333;4.58;4.34;4.29;4.4;0.024033333;r;r;r;r;r;r;r;r;r;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
Archibald;18/jun;Celien;16:02;3;voor;impact;13.4;13.14;13.46;13.33;0.028933333;4.36;4.2;4.16;4.24;0.0112;4.56;3.8;4.15;4.17;0.1447;k;r;r;v;k;r;k;k;k;w;r;w;k;k;w;r;r;k;k;v;w;w;r;k;r;2;10;8;5;0;0;25;0.08;0.4;0.32;0.2;0;0
Archibald;18/jun;Celien;16:02;3;na;impact;13.4;13.14;13.46;13.33;0.028933333;4.36;4.2;4.16;4.24;0.0112;4.56;3.8;4.15;4.17;0.1447;k;r;r;r;r;r;r;r;r;r;r;r;g;w;r;k;k;k;k;k;k;w;r;r;r;0;7;15;2;1;0;25;0;0.28;0.6;0.08;0.04;0
Joaquin;18/jun;Ward;16:01;5;voor;controle;12.12;12.23;12.16;12.17;0.0031;3.66;3.87;3.77;3.77;0.011033333;3.35;3.46;3.36;3.39;0.0037;k;r;k;v;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;5;19;0;0;0;25;0.04;0.2;0.76;0;0;0
Joaquin;18/jun;Ward;16:01;5;na;controle;12.12;12.23;12.16;12.17;0.0031;3.66;3.87;3.77;3.77;0.011033333;3.35;3.46;3.36;3.39;0.0037;v;k;k;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;k;v;3;4;18;0;0;0;25;0.12;0.16;0.72;0;0;0
Sacha;18/jun;Ward;16:39;5;voor;controle;11.74;11.85;11.6;11.73;0.0157;3.65;3.61;3.87;3.71;0.0196;3.4;3.51;3.31;3.41;0.010033333;k;w;r;v;k;k;r;k;k;k;k;k;w;b;k;k;k;r;r;r;r;r;r;r;r;1;11;10;2;0;1;25;0.04;0.44;0.4;0.08;0;0.04
Sacha;18/jun;Ward;16:39;5;na;controle;11.74;11.85;11.6;11.73;0.0157;3.65;3.61;3.87;3.71;0.0196;3.4;3.51;3.31;3.41;0.010033333;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;0;4;21;0;0;0;25;0;0.16;0.84;0;0;0
Jose-Manuel;18/jun;Ward;14:57;4;voor;impact;12.86;12.2;12.25;12.44;0.135033333;3.81;4.02;4.02;3.95;0.0147;3.34;3.23;3.38;3.32;0.006033333;k;r;r;v;v;v;v;k;w;k;k;k;k;k;k;k;k;k;v;b;k;k;b;b;r;5;13;3;1;0;3;25;0.2;0.52;0.12;0.04;0;0.12
Jose-Manuel;18/jun;Ward;14:57;4;na;impact;12.86;12.2;12.25;12.44;0.135033333;3.81;4.02;4.02;3.95;0.0147;3.34;3.23;3.38;3.32;0.006033333;w;k;r;w;g;g;g;v;g;v;v;v;g;v;k;g;g;k;k;k;v;w;g;g;w;6;5;1;4;9;0;25;0.24;0.2;0.04;0.16;0.36;0
Nico;18/jun;Laura;15:54;4;voor;impact;13.44;13.48;13.21;13.38;0.021233333;3.93;3.94;4.12;4;0.011433333;3.82;3.92;3.93;3.89;0.0037;v;r;v;k;v;w;w;k;r;r;r;r;r;w;k;g;r;r;g;k;v;k;v;v;k;6;6;8;3;2;0;25;0.24;0.24;0.32;0.12;0.08;0
Nico;18/jun;Laura;15:54;4;na;impact;13.44;13.48;13.21;13.38;0.021233333;3.93;3.94;4.12;4;0.011433333;3.82;3.92;3.93;3.89;0.0037;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;k;k;r;r;r;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
Hugo;18/jun;Laura;16:55;4;voor;controle;12.43;12.66;12.28;12.46;0.036633333;3.56;3.48;3.73;3.59;0.0163;4.17;4.47;3.86;4.17;0.093033333;k;r;r;r;r;k;v;k;v;k;k;k;w;r;r;r;r;r;k;k;r;r;r;k;k;2;10;12;1;0;0;25;0.08;0.4;0.48;0.04;0;0
Hugo;18/jun;Laura;16:55;4;na;controle;12.43;12.66;12.28;12.46;0.036633333;3.56;3.48;3.73;3.59;0.0163;4.17;4.47;3.86;4.17;0.093033333;g;r;r;k;k;k;r;r;r;r;k;v;g;r;r;r;k;r;r;r;r;r;r;r;r;1;5;17;0;2;0;25;0.04;0.2;0.68;0;0.08;0
Igor;18/jun;Eliane;16:08;5;voor;controle;12.19;12.07;11.98;12.08;0.0111;3.76;3.8;3.93;3.83;0.0079;3.62;4.03;3.74;3.8;0.044433333;k;k;r;r;w;k;v;k;k;k;k;k;k;k;k;k;v;k;k;k;k;k;k;g;g;2;18;2;1;2;0;25;0.08;0.72;0.08;0.04;0.08;0
Igor;18/jun;Eliane;17:08;5;na;controle;12.19;12.07;11.98;12.08;0.0111;3.76;3.8;3.93;3.83;0.0079;3.62;4.03;3.74;3.8;0.044433333;g;r;k;g;v;k;k;k;k;k;r;k;v;r;k;r;g;g;r;r;r;r;w;g;r;2;8;9;1;5;0;25;0.08;0.32;0.36;0.04;0.2;0
Boris;18/jun;Eliane;16:50;2;voor;impact;12.96;12.85;13.01;12.94;0.0067;4.15;4.11;4.17;4.14;0.000933333;3.5;3.59;3.47;3.52;0.0039;k;r;r;r;r;k;k;k;k;w;r;k;k;b;k;k;k;k;b;b;k;k;b;b;k;0;14;5;1;0;5;25;0;0.56;0.2;0.04;0;0.2
Boris;18/jun;Eliane;17:50;2;na;impact;12.96;12.85;13.01;12.94;0.0067;4.15;4.11;4.17;4.14;0.000933333;3.5;3.59;3.47;3.52;0.0039;r;r;g;r;r;w;v;v;k;k;v;b;k;k;k;v;k;b;r;r;r;k;r;r;r;4;7;10;1;1;2;25;0.16;0.28;0.4;0.04;0.04;0.08
Johnny;18/jun;Eliane;14:45;5;voor;controle;14.47;15.2;15.55;15.07;0.303633333;4.54;4.46;4.85;4.62;0.042433333;4.34;4.35;4.15;4.28;0.0127;v;g;k;k;v;g;g;v;g;r;r;g;g;g;k;k;k;r;g;r;r;r;r;g;g;3;5;7;0;10;0;25;0.12;0.2;0.28;0;0.4;0
Johnny;18/jun;Eliane;14:45;5;na;controle;14.47;15.2;15.55;15.07;0.303633333;4.54;4.46;4.85;4.62;0.042433333;4.34;4.35;4.15;4.28;0.0127;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;w;r;r;r;r;r;r;r;r;r;0;1;23;1;0;0;25;0;0.04;0.92;0.04;0;0
Jorge;18/jun;Eliane;15:25;5;voor;controle;12.23;12.01;12.43;12.22;0.044133333;3.6;3.51;3.37;3.49;0.013433333;4.28;4.29;4.31;4.29;0.000233333;k;r;r;r;v;v;b;b;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;2;1;20;0;0;2;25;0.08;0.04;0.8;0;0;0.08
Jorge;18/jun;Eliane;15:25;5;na;controle;12.23;12.01;12.43;12.22;0.044133333;3.6;3.51;3.37;3.49;0.013433333;4.28;4.29;4.31;4.29;0.000233333;v;r;b;k;v;b;w;k;r;w;w;w;w;w;w;w;w;w;w;r;w;w;r;r;r;2;2;6;13;0;2;25;0.08;0.08;0.24;0.52;0;0.08
Samson;19/jun;Eliane;17:03;3;voor;controle;12.83;12.95;12.7;12.83;0.015633333;3.77;3.84;3.73;3.78;0.0031;4.28;4.11;4.24;4.21;0.0079;v;k;k;k;b;k;k;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;r;r;k;1;7;16;0;0;1;25;0.04;0.28;0.64;0;0;0.04
Samson;19/jun;Eliane;17:03;3;na;controle;12.83;12.95;12.7;12.83;0.015633333;3.77;3.84;3.73;3.78;0.0031;4.28;4.11;4.24;4.21;0.0079;k;k;k;r;r;r;r;r;r;r;k;k;r;r;k;k;r;r;r;r;r;r;r;r;r;0;7;18;0;0;0;25;0;0.28;0.72;0;0;0
Gert;19/jun;Ward;17:03;3;voor;impact;12.73;12.67;12.71;12.7;0.000933333;3.88;3.9;3.86;3.88;0.0004;4.51;4.43;4.52;4.49;0.002433333;v;v;k;k;v;k;k;w;k;k;w;k;k;k;k;r;k;k;k;v;r;k;k;k;k;4;17;2;2;0;0;25;0.16;0.68;0.08;0.08;0;0
Gert;19/jun;Ward;17:03;3;na;impact;12.73;12.67;12.71;12.7;0.000933333;3.88;3.9;3.86;3.88;0.0004;4.51;4.43;4.52;4.49;0.002433333;k;k;k;w;w;k;k;r;g;g;g;k;g;k;r;g;g;g;k;r;r;g;k;k;w;0;10;4;3;8;0;25;0;0.4;0.16;0.12;0.32;0
Emile;19/jun;Celien;NA;3;voor;controle;10.78;10.99;10.85;10.87;0.011433333;3.41;3.4;3.33;3.38;0.0019;3.33;3.19;3.23;3.25;0.0052;v;k;k;k;k;k;k;k;k;k;r;k;r;r;r;r;r;r;r;r;r;r;r;r;k;1;11;13;0;0;0;25;0.04;0.44;0.52;0;0;0
Emile;19/jun;Celien;NA;3;na;controle;10.78;10.99;10.85;10.87;0.011433333;3.41;3.4;3.33;3.38;0.0019;3.33;3.19;3.23;3.25;0.0052;k;k;k;k;k;k;k;k;k;v;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;1;11;13;0;0;0;25;0.04;0.44;0.52;0;0;0
Felix;19/jun;Celien;NA;3;voor;impact;12.06;12.17;12.05;12.09;0.004433333;3.46;3.41;3.68;3.52;0.020633333;4.15;4.16;4.05;4.12;0.0037;v;v;k;v;k;k;v;k;k;k;r;v;k;v;k;w;k;r;r;k;k;v;k;k;k;7;14;3;1;0;0;25;0.28;0.56;0.12;0.04;0;0
Felix;19/jun;Celien;NA;3;na;impact;12.06;12.17;12.05;12.09;0.004433333;3.46;3.41;3.68;3.52;0.020633333;4.15;4.16;4.05;4.12;0.0037;k;k;k;k;v;r;r;v;k;k;k;k;k;r;r;k;k;r;r;k;g;g;g;g;r;2;12;7;0;4;0;25;0.08;0.48;0.28;0;0.16;0
Octaaf;19/jun;Laura;15:46;3;voor;controle;11.38;11.45;11.56;11.46;0.008233333;3.3;3.47;3.39;3.39;0.007233333;4.09;3.91;4.3;4.1;0.0381;k;k;k;r;k;r;k;k;k;r;r;r;r;r;r;r;v;k;k;r;r;v;k;k;k;2;12;11;0;0;0;25;0.08;0.48;0.44;0;0;0
Octaaf;19/jun;Laura;15:46;3;na;controle;11.38;11.45;11.56;11.46;0.008233333;3.3;3.47;3.39;3.39;0.007233333;4.09;3.91;4.3;4.1;0.0381;k;r;r;r;r;k;k;k;r;r;r;r;r;r;r;r;r;r;k;r;r;r;r;v;r;1;5;19;0;0;0;25;0.04;0.2;0.76;0;0;0
Alberto;19/jun;Laura;15:46;3;voor;impact;11.73;11.82;11.82;11.79;0.0027;3.87;3.86;3.84;3.86;0.000233333;3.68;3.57;3.7;3.65;0.0049;k;k;k;v;v;k;k;b;r;r;r;r;r;w;w;r;r;r;r;r;r;r;r;r;r;2;5;15;2;0;1;25;0.08;0.2;0.6;0.08;0;0.04
Alberto;19/jun;Laura;15:46;3;na;impact;11.73;11.82;11.82;11.79;0.0027;3.87;3.86;3.84;3.86;0.000233333;3.68;3.57;3.7;3.65;0.0049;k;r;k;k;k;w;k;r;r;w;r;k;w;r;r;r;r;r;r;r;r;r;r;w;w;0;6;14;5;0;0;25;0;0.24;0.56;0.2;0;0
Joris;19/jun;Laura;13:46;7;voor;impact;12.6;12.47;12.62;12.56;0.006633333;3.52;3.51;3.66;3.56;0.007033333;3.95;3.91;4.08;3.98;0.0079;r;r;k;r;r;r;r;r;r;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
Joris;19/jun;Laura;13:46;7;na;impact;12.6;12.47;12.62;12.56;0.006633333;3.52;3.51;3.66;3.56;0.007033333;3.95;3.91;4.08;3.98;0.0079;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
