Title;Authors;Year;Journal;DOI, if applicable;kind of journal?;Species;Order Species;Family Species;Status species (local/mentioned by paper) pest, endangered,...;pest or not?;Status IUCN;Where?;Region;region (Tropical, Temperate, Boreal,...);estimate of body length (mm);Flying/crawling/aquatic;Kind of tag (RFID, radio, harmonic);where was the tag attached;ventral/dorsal/internal;Study field;Estimation of amount of individuals tagged;What kind of experiment?;Tag only certain group? (larger females, only large ones);Duration of tagging;Do they take the tag of again?;Mention mass species/individuals yes/no;Mean mass individual or species in g;Mention mass tag yes/no;Mean mass tag in mg;Mention mass ratio yes/no;Mean ratio percent;Mention/discuss possible impact yes/no;Impact yes/no?;How impact is discussed or measured;Quantification of impact? yes/no;Say more research is needed to assess impact or not able to assess the impact themselves;Comments;
The harmonic radar: a new method of tracing insects in the field;Mascanzoni & Wallin;1986;Ecological Entomology;10.1111/j.1365-2311.1986.tb00317.x;WoS;Pterostichus melanarius, Harpalus rufipes, Pterostichus niger, Carabus granulatus;Coleoptera, Coleoptera, Coleoptera, Coleoptera;Carabidae, Carabidae, Carabidae, Carabidae;NA;0, 0, 0, 0;NE, NE, NE, NE;Uppsala, Sweden, Europe;Europe;Boreal;15, 15, 18, 20;crawling, crawling, crawling, crawling;portable harmonic radar;elytra;dorsal;testing techique;50;natural field conditions;Females, Females, both, both;8-30 days;not mentioned;no;NA, NA, NA, NA;yes;55, 55, 55, 55;no;NA, NA, NA, NA;yes;no, no, no, no;CMRC;no;no;They do capture mark recapture with tagged and wing-clipped individuals, after 2 times sampling in one week, there is no difference in recapture.;
Movements of Carabid Beetles (Coleoptera: Carabidae) Inhabiting Cereal fields: A field Tracing Study;Wallin and Ekbom;1988;Oecologia;10.1007/BF00380922;WoS;Pterostichys melanarius, Pterostichus niger, Harpalus rufipes, Carabus nemoralis;Coleoptera, Coleoptera, Coleoptera, Coleoptera;Carabidae, Carabidae, Carabidae, Carabidae;NA;0, 0, 0, 0;NE, NE, NE, NE;Uppsala, Sweden, Europe;Europe;Boreal;15, 18, 15, 25;crawling, crawling, crawling, crawling;portable harmonic radar;elytra;dorsal;movement;98;natural field conditions;both;one night? dissected to see if they were hungry or not;collected in the end;no;NA, NA, NA, NA;no;NA, NA, NA, NA;no;NA, NA, NA, NA;no;NA, NA, NA, NA;established protocol;no;no;Refer to Mascanzoni & Wallin (1986) for the technique;
Bewegungsmuster und Orientierung des Laufkäfers Carabus auronitens in einem westfälischen Eichen-Hainbuchen-Wald (Radarbeobactungen und Rückfangexperimente);Hockmann et al;1989;Abhandlungen aus dem Westfälischen Museum fur Naturkunde;Abh. Westf. Mus. Natkde 51(1): 1–71;non peer-reviewed;Carabus auronitens;Coleoptera;Carabidae;abundant forest-species;0;NE;Nord Rhine-Westphalia, Germnay;Europe;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;movement;13;natural field conditions;no;4 to 30 days;not mentioned;no;NA;no;NA;yes;35;yes;no;normal behaviour;no;no;;
Movement patterns and foraging tactics of a caterpillar hunter inhabiting alfalfa fields;Wallin;1991;Functional Ecology;10.2307/2389536;WoS;Calosoma affine;Coleoptera;Carabidae;not mentioned;0;NE;San Joaquin Valley, California, USA;North America;Arid;25;crawling;portable harmonic radar;thorax;dorsal;movement;59;field experiment;no;2 months;not mentioned;no;NA;no;NA;no;NA;yes;no;established protocol + qualitative reasoning;no;no;Refer to Mascanzoni & Wallin (1986) and Wallin & Ekbom (1988).;
Radar tracking the movements of ground beetles in a farmland mosaic;Kennedy and Young;1993;Aberdeen Letters in Ecology;6, 18-19;peer-reviewed, not on WoS;Carabus nemoralis;Coleoptera;Carabidae;eurytopic;0;NE;Abderdeen, Scotland, UK, Europe;Europe;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;movement;11;natural field conditions;males;9 hours - 1 day max;not mentioned, but most likely yes;no;NA;yes;50;yes;10;no;NA;NA;no;no;;
The distribution and movement of ground beetles in relation to set-aside arable land;Kennedy;1994;Carabid beetles: Ecology and Evolution;K. Desender et al (eds.) 439-444. Kluwer Academic Publishers. Printed in the Netherlands.;chapter in book;Carabus nemoralis;Coleoptera;Carabidae;eurytopic;0;NE;Abderdeen, Scotland, UK, Europe;Europe;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;movement;10;natural field conditions;males;1-3 nights;not mentioned;no;NA;yes;50;yes;10;no;NA;NA;no;no;Refer to Mascanzoni & Wallin (1986);
Influence of hunger level and prey densities on movements patterns in three Species of Pterostichus Beetles (Coleoptera: Carabidae);Wallin and Ekbom;1994;Environmental Entomology;10.1093/ee/23.5.1171;WoS;Pterostichus cupreus, Pterostichus melanarius, Pterostichus niger;Coleoptera, Coleoptera, Coleoptera;Carabidae, Carabidae, Carabidae;Proposed biological control agents;0, 0, 0;NE, NE, NE;Uppsala and Stockholm, Sweden, Europe;Europe;Boreal;12, 15, 18;crawling, crawling, crawling;portable harmonic radar;not mentioned;NA;movement;32;natural field conditions;both males and females;7-54 days;collected in the end;no;NA, NA, NA;no;NA, NA, NA;no;NA, NA, NA;no;NA, NA, NA;established protocol;no;no;Refer to Mascanzoni & Wallin (1986);
Use of radio telemetry for studying dispersal and habitat use of Carabus coriaceus L;Riecken & Raths;1996;Ann Zool Fennici;33, 109-116;WoS;Carabus coriaceus;Coleoptera;Carabidae;NA;0;NE;Bonn, North-Rhine Westfalia, Germany, Europe;Europe;Temperate;35;crawling;radio telemetry;elytra;dorsal;testing technique + dispersal;15;natural field conditions;no;14-18 days;not mentioned;yes;1.64;yes;650;yes;42.5;yes;no;refer + reasoning;no;yes;They say that in a previous study (in German, not on WoS and not included here), the beetles gained weight during the experiment and conclude that there is therefore no effect on foraging success. Impact on behaviour and dispersal is for future studies.;
Tracking bees with harmonic radar;Riley et al;1996;Nature;10.1038/379029b0;WoS;Bombus spp., Apis mellifera;Hymenoptera, Hymenoptera;Apidae, Apidae;NA;0, 0;NE, DD;Based on mentioned flora: Southwestern USA;North America;Temperate;13, 12.5;Flying, Flying;scanning harmonic radar;scutum (based on picture);dorsal;testing techique;41;field experiment;regular foragers;NA;not mentioned;no;NA, NA;yes;3, 3;yes;1.5, NA;yes;no, no;qualitative discussion;no;yes;They measure the trag of the pit tag through free fall experiments and compare it with the drag of a bee body.;
Even smaller radar tags on insects;Roland et al;1996;Nature;10.1038/381120a0;WoS;Parnassius smintheus, Erebia epipsodea, Malacosoma disstria, Patelloa pachypyga, Arachnidomyia aldrichi;Lepidoptera, Lepidoptera, Lepidoptera, Diptera, Diptera;Papilionidae, Nymphalidae, Lasiocampidae, Tachinidae,  Sarcophagidae ;NA;0, 0, 0, 0, 0;NE, NE, NE, NE, NE;Canada;North America;Boreal;50, 40, 30, 10, 10;Flying, Flying, Flying, Flying, Flying;harmonic radar;thorax or abdomen;dorsal;testing techique + movement;NA;field experiment;adults + larvae of Malacosoma;14 days, NA, 48h, 3h, NA;not mentioned;yes;0.35, 0.15, 0.2, 0.05, 0.065;yes;0.4, 0.4, 0.4, 0.4, 0.4;yes;0.114, 0.27, 0.2, 0.76, 0.62;yes;no, no, no, no, no;CMRC + normal behaviour;no;no;Mark-recapture study of 10 individuals fitted with tags, together with untagged butterflies, over a period of 2 weeks.;
